"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
2.50000e-01,5.00000e-01,0.00000e+00,5.10188e+01,0.00000e+00,0.00000e+00,0.00000e+00
1.18310e-03,1.03289e+00,0.00000e+00,5.02442e+01,5.00000e-01,0.00000e+00,0.00000e+00
-6.54783e-02,8.55231e-01,0.00000e+00,4.84553e+01,5.00000e-01,5.00000e-01,0.00000e+00
-7.35347e-02,-2.49347e-01,-6.06760e-17,4.75282e+01,1.00000e+00,5.00000e-01,0.00000e+00
-3.36874e-01,-3.47520e-01,-9.38156e-17,4.74953e+01,1.00000e+00,8.50000e-01,0.00000e+00
-3.95872e-01,-1.80826e-01,0.00000e+00,4.63120e+01,1.00000e+00,1.00000e+00,0.00000e+00
1.29453e-01,1.70526e-01,0.00000e+00,4.49778e+01,1.10000e+00,1.00000e+00,0.00000e+00
9.60855e-04,9.98191e-01,-1.28679e-20,4.47385e+01,1.10000e+00,0.00000e+00,0.00000e+00
3.23531e-05,1.00167e+00,0.00000e+00,4.47211e+01,1.60000e+00,0.00000e+00,0.00000e+00
9.77637e-02,4.80654e-01,0.00000e+00,4.46260e+01,1.60000e+00,5.00000e-01,0.00000e+00
1.75656e-01,7.73204e-03,-1.41403e-16,4.45115e+01,2.10000e+00,5.00000e-01,0.00000e+00
-9.00183e-01,-1.21448e-04,0.00000e+00,4.42318e+01,2.10000e+00,8.50000e-01,0.00000e+00
-1.30100e+00,-1.29113e-01,0.00000e+00,4.17421e+01,2.10000e+00,1.00000e+00,0.00000e+00
-2.82302e-01,1.99918e-01,-6.75630e-17,3.96658e+01,2.20000e+00,1.00000e+00,0.00000e+00
2.11894e-04,9.98388e-01,3.74857e-17,3.95399e+01,2.20000e+00,0.00000e+00,0.00000e+00
1.18003e-03,1.00179e+00,0.00000e+00,3.95229e+01,2.70000e+00,0.00000e+00,0.00000e+00
3.36834e-02,6.15930e-01,-2.74129e-15,3.93810e+01,2.70000e+00,5.00000e-01,0.00000e+00
1.21804e-01,8.24013e-02,0.00000e+00,3.93507e+01,3.20000e+00,5.00000e-01,0.00000e+00
-4.31920e-01,9.27696e-02,1.65081e-16,3.92358e+01,3.20000e+00,8.50000e-01,0.00000e+00
-1.82853e-01,2.87944e-01,0.00000e+00,3.78522e+01,3.20000e+00,1.00000e+00,0.00000e+00
3.41070e-01,5.61908e-01,0.00000e+00,3.66008e+01,3.30000e+00,1.00000e+00,0.00000e+00
2.18886e-03,9.97114e-01,0.00000e+00,3.62980e+01,3.30000e+00,0.00000e+00,0.00000e+00
3.79391e-06,1.00312e+00,3.56820e-17,3.62641e+01,3.80000e+00,0.00000e+00,0.00000e+00
4.10044e-01,7.05721e-01,-6.62478e-16,3.57298e+01,3.80000e+00,5.00000e-01,0.00000e+00
-2.59113e-01,2.20708e-01,-4.70750e-16,3.55386e+01,4.30000e+00,5.00000e-01,0.00000e+00
3.27149e+00,1.61598e-02,3.76785e-17,1.74098e+01,4.30000e+00,8.50000e-01,0.00000e+00
2.61503e+00,-8.47654e-01,-8.70546e-17,2.03682e+01,4.30000e+00,1.00000e+00,0.00000e+00
-5.50402e-01,-2.75293e-01,-8.35662e-17,4.16783e+01,4.40000e+00,1.00000e+00,0.00000e+00
8.04058e-04,9.94255e-01,0.00000e+00,4.22648e+01,4.40000e+00,0.00000e+00,0.00000e+00
4.25675e-03,1.00654e+00,-6.56814e-17,4.21931e+01,4.90000e+00,0.00000e+00,0.00000e+00
6.09889e-01,7.70061e-01,0.00000e+00,4.12107e+01,4.90000e+00,5.00000e-01,0.00000e+00
1.04416e-01,2.72719e-01,-7.22845e-17,4.11996e+01,5.40000e+00,5.00000e-01,0.00000e+00
3.77141e+00,5.19660e-01,0.00000e+00,1.98501e+01,5.40000e+00,8.50000e-01,0.00000e+00
3.13021e+00,-3.32689e-01,0.00000e+00,2.14365e+01,5.40000e+00,1.00000e+00,0.00000e+00
-3.12264e-01,2.05321e-02,0.00000e+00,4.31782e+01,5.50000e+00,1.00000e+00,0.00000e+00
-1.92119e-04,9.96625e-01,0.00000e+00,4.31619e+01,5.50000e+00,0.00000e+00,0.00000e+00
2.20821e-03,1.00326e+00,0.00000e+00,4.31264e+01,6.00000e+00,0.00000e+00,0.00000e+00
1.86392e-01,7.69444e-01,0.00000e+00,4.28772e+01,6.00000e+00,5.00000e-01,0.00000e+00
-8.66891e-03,-3.41992e-02,1.04095e-15,4.27880e+01,6.50000e+00,5.00000e-01,0.00000e+00
-8.42025e-01,1.07010e-01,0.00000e+00,4.27138e+01,6.50000e+00,8.50000e-01,0.00000e+00
-1.25286e+00,-9.67439e-02,0.00000e+00,3.82010e+01,6.50000e+00,1.00000e+00,0.00000e+00
-2.14895e-01,1.70688e-01,0.00000e+00,3.41337e+01,6.60000e+00,1.00000e+00,0.00000e+00
1.92153e-03,9.96118e-01,0.00000e+00,3.42260e+01,6.60000e+00,0.00000e+00,0.00000e+00
9.31638e-06,1.00363e+00,-3.37935e-17,3.41897e+01,7.10000e+00,0.00000e+00,0.00000e+00
3.16589e-01,7.62139e-01,8.83759e-17,3.38358e+01,7.10000e+00,5.00000e-01,0.00000e+00
-3.68562e-02,1.24569e-01,1.25141e-15,3.37780e+01,7.60000e+00,5.00000e-01,0.00000e+00
2.97973e+00,-3.33155e-01,0.00000e+00,1.66723e+01,7.60000e+00,8.50000e-01,0.00000e+00
2.20592e+00,-9.37840e-01,8.41899e-19,1.98802e+01,7.60000e+00,1.00000e+00,0.00000e+00
-6.63045e-01,1.21263e-01,1.90057e-16,4.02531e+01,7.70000e+00,1.00000e+00,0.00000e+00
1.91335e-03,9.97435e-01,-1.29502e-16,4.04217e+01,7.70000e+00,0.00000e+00,0.00000e+00
-5.51591e-05,1.00276e+00,0.00000e+00,4.03921e+01,8.20000e+00,0.00000e+00,0.00000e+00
-1.18701e-01,4.14682e-01,-5.58596e-17,4.00091e+01,8.20000e+00,5.00000e-01,0.00000e+00
-9.90715e-02,-1.89103e-01,-1.40628e-16,3.98458e+01,8.70000e+00,5.00000e-01,0.00000e+00
-4.07894e-01,-2.19349e-02,0.00000e+00,3.99154e+01,8.70000e+00,8.50000e-01,0.00000e+00
