"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
4.73508e-01,1.18646e-02,0.00000e+00,6.77891e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.38457e-01,1.53161e-01,0.00000e+00,6.88326e+00,5.00000e-01,0.00000e+00,0.00000e+00
3.40604e-02,3.59712e-01,0.00000e+00,6.40595e+00,5.00000e-01,5.00000e-01,0.00000e+00
1.11926e-02,-1.41548e-01,-1.92061e-17,6.18263e+00,1.00000e+00,5.00000e-01,0.00000e+00
-2.89749e-01,-3.11184e-02,-3.90893e-17,6.21012e+00,1.00000e+00,8.50000e-01,0.00000e+00
-6.72029e-01,2.46616e-03,0.00000e+00,4.94061e+00,1.00000e+00,1.00000e+00,0.00000e+00
-9.43479e-02,1.26907e-01,0.00000e+00,3.80148e+00,1.10000e+00,1.00000e+00,0.00000e+00
3.31590e-02,-5.14435e-02,-9.71139e-17,3.92339e+00,1.10000e+00,0.00000e+00,0.00000e+00
2.55800e-02,7.30705e-02,0.00000e+00,3.92021e+00,1.60000e+00,0.00000e+00,0.00000e+00
1.66300e-01,2.26506e-01,0.00000e+00,3.81203e+00,1.60000e+00,5.00000e-01,0.00000e+00
6.90124e-02,8.77806e-02,-1.83877e-17,3.78436e+00,2.10000e+00,5.00000e-01,0.00000e+00
-7.86258e-01,1.51842e-01,0.00000e+00,3.52704e+00,2.10000e+00,8.50000e-01,0.00000e+00
-1.16500e+00,-2.47879e-02,0.00000e+00,2.67796e+00,2.10000e+00,1.00000e+00,0.00000e+00
-2.01911e-01,-1.37680e-01,-7.10215e-18,1.92769e+00,2.20000e+00,1.00000e+00,0.00000e+00
2.36774e-02,-3.19567e-02,4.53966e-17,1.90038e+00,2.20000e+00,0.00000e+00,0.00000e+00
3.91386e-02,4.53939e-02,-2.55507e-17,1.89955e+00,2.70000e+00,0.00000e+00,0.00000e+00
1.26438e-01,1.29539e-01,6.19029e-18,1.85839e+00,2.70000e+00,5.00000e-01,0.00000e+00
7.01858e-02,6.92289e-02,0.00000e+00,1.85601e+00,3.20000e+00,5.00000e-01,0.00000e+00
-4.15195e-01,9.00261e-02,8.60902e-18,1.78614e+00,3.20000e+00,8.50000e-01,0.00000e+00
-5.68101e-01,5.74177e-02,0.00000e+00,1.62143e+00,3.20000e+00,1.00000e+00,0.00000e+00
-8.18030e-02,1.79173e-01,0.00000e+00,1.49780e+00,3.30000e+00,1.00000e+00,0.00000e+00
-6.64104e-03,-4.58773e-02,0.00000e+00,1.53508e+00,3.30000e+00,0.00000e+00,0.00000e+00
5.45395e-02,3.19942e-02,2.07499e-17,1.52909e+00,3.80000e+00,0.00000e+00,0.00000e+00
-1.25338e-01,6.06893e-03,-4.62326e-17,1.56107e+00,3.80000e+00,5.00000e-01,0.00000e+00
3.99740e-02,1.01749e-01,-9.24696e-18,1.65990e+00,4.30000e+00,5.00000e-01,0.00000e+00
5.95591e-01,3.94097e-01,2.92260e-18,7.17924e-01,4.30000e+00,8.50000e-01,0.00000e+00
1.54467e-01,2.97583e-01,-1.92034e-18,3.58343e-01,4.30000e+00,1.00000e+00,0.00000e+00
-4.09856e-01,5.04444e-01,-1.11874e-18,1.36589e+00,4.40000e+00,1.00000e+00,0.00000e+00
4.70684e-02,-1.04829e-01,0.00000e+00,2.12132e+00,4.40000e+00,0.00000e+00,0.00000e+00
1.18732e-01,9.30263e-02,-2.17266e-17,2.10238e+00,4.90000e+00,0.00000e+00,0.00000e+00
4.44852e-01,1.31393e-01,0.00000e+00,1.84783e+00,4.90000e+00,5.00000e-01,0.00000e+00
3.38938e-01,1.84970e-01,-2.60997e-18,1.91954e+00,5.40000e+00,5.00000e-01,0.00000e+00
6.86680e-01,8.21928e-01,0.00000e+00,7.74799e-01,5.40000e+00,8.50000e-01,0.00000e+00
7.98211e-02,8.17037e-01,0.00000e+00,2.22641e-01,5.40000e+00,1.00000e+00,0.00000e+00
-5.49871e-01,8.01249e-01,0.00000e+00,1.72489e+00,5.50000e+00,1.00000e+00,0.00000e+00
4.03298e-03,-6.93063e-02,0.00000e+00,3.18609e+00,5.50000e+00,0.00000e+00,0.00000e+00
6.92812e-02,3.30460e-02,3.24179e-17,3.17843e+00,6.00000e+00,0.00000e+00,0.00000e+00
-4.89460e-02,3.88775e-03,0.00000e+00,3.25347e+00,6.00000e+00,5.00000e-01,0.00000e+00
3.02433e-01,3.40522e-02,1.72262e-17,3.09982e+00,6.50000e+00,5.00000e-01,0.00000e+00
-8.52371e-01,5.40144e-02,0.00000e+00,2.83363e+00,6.50000e+00,8.50000e-01,0.00000e+00
-1.18652e+00,1.51304e-01,0.00000e+00,1.78264e+00,6.50000e+00,1.00000e+00,0.00000e+00
-2.18241e-01,3.51290e-01,0.00000e+00,1.00934e+00,6.60000e+00,1.00000e+00,0.00000e+00
-9.20464e-03,-2.89597e-02,2.72428e-17,1.23001e+00,6.60000e+00,0.00000e+00,0.00000e+00
3.15620e-02,1.89153e-02,-2.74948e-17,1.22727e+00,7.10000e+00,0.00000e+00,0.00000e+00
1.23077e-01,7.42217e-03,2.88795e-17,1.20777e+00,7.10000e+00,5.00000e-01,0.00000e+00
7.49229e-02,1.42499e-01,1.24164e-17,1.16643e+00,7.60000e+00,5.00000e-01,0.00000e+00
5.66814e-01,6.77357e-01,0.00000e+00,4.41114e-01,7.60000e+00,8.50000e-01,0.00000e+00
-9.20638e-02,4.00056e-01,6.29479e-21,2.48803e-01,7.60000e+00,1.00000e+00,0.00000e+00
-1.69592e-01,4.83922e-01,1.23019e-16,8.84736e-01,7.70000e+00,1.00000e+00,0.00000e+00
1.63363e-02,-3.55390e-03,-7.83969e-17,1.25014e+00,7.70000e+00,0.00000e+00,0.00000e+00
5.52063e-03,2.32753e-02,0.00000e+00,1.25162e+00,8.20000e+00,0.00000e+00,0.00000e+00
1.72077e-01,-2.07180e-02,-1.79547e-18,1.20664e+00,8.20000e+00,5.00000e-01,0.00000e+00
1.64504e-01,6.87242e-02,-6.27993e-18,1.19902e+00,8.70000e+00,5.00000e-01,0.00000e+00
-4.39138e-01,1.32939e-01,0.00000e+00,1.20970e+00,8.70000e+00,8.50000e-01,0.00000e+00
-5.56351e-01,7.62325e-02,-4.13898e-17,1.18072e+00,8.70000e+00,1.00000e+00,0.00000e+00
-1.32538e-01,2.86052e-01,-4.13898e-17,1.17605e+00,8.80000e+00,1.00000e+00,0.00000e+00
4.51514e-03,-3.85859e-02,-1.85450e-17,1.31409e+00,8.80000e+00,0.00000e+00,0.00000e+00
5.13957e-02,2.54641e-02,0.00000e+00,1.31170e+00,9.30000e+00,0.00000e+00,0.00000e+00
2.19734e-02,3.65323e-02,2.69671e-17,1.32894e+00,9.30000e+00,5.00000e-01,0.00000e+00
1.49419e-01,2.12119e-01,-2.36772e-18,1.29215e+00,9.80000e+00,5.00000e-01,0.00000e+00
6.55650e-01,8.69100e-01,-1.13472e-19,3.13854e-01,9.80000e+00,8.50000e-01,0.00000e+00
-1.74644e-01,3.71055e-01,-1.83205e-18,5.81590e-01,9.80000e+00,1.00000e+00,0.00000e+00
