"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
2.50000e-01,5.00000e-01,0.00000e+00,7.04848e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.65731e-03,1.03218e+00,0.00000e+00,6.28046e+00,5.00000e-01,0.00000e+00,0.00000e+00
-2.90782e-02,7.14592e-01,0.00000e+00,4.74626e+00,5.00000e-01,5.00000e-01,0.00000e+00
-2.50944e-02,-6.27572e-02,-1.04775e-17,4.03344e+00,1.00000e+00,5.00000e-01,0.00000e+00
-5.72449e-01,-7.77027e-02,-1.69765e-16,3.89545e+00,1.00000e+00,8.50000e-01,0.00000e+00
-3.15948e-01,7.97582e-02,0.00000e+00,3.58499e+00,1.00000e+00,1.00000e+00,0.00000e+00
1.90200e-01,5.61316e-01,0.00000e+00,3.32234e+00,1.10000e+00,1.00000e+00,0.00000e+00
6.93409e-05,9.99814e-01,-1.12309e-21,3.30178e+00,1.10000e+00,0.00000e+00,0.00000e+00
2.44902e-05,1.00015e+00,0.00000e+00,3.30019e+00,1.60000e+00,0.00000e+00,0.00000e+00
8.41327e-02,4.74188e-01,0.00000e+00,3.29989e+00,1.60000e+00,5.00000e-01,0.00000e+00
3.42891e-01,5.12446e-02,-5.10713e-18,2.98805e+00,2.10000e+00,5.00000e-01,0.00000e+00
-8.45024e-01,1.04265e-01,0.00000e+00,2.81082e+00,2.10000e+00,8.50000e-01,0.00000e+00
-9.83335e-01,-1.52216e-01,0.00000e+00,2.18253e+00,2.10000e+00,1.00000e+00,0.00000e+00
2.03705e-02,3.17415e-01,-1.96930e-18,1.57178e+00,2.20000e+00,1.00000e+00,0.00000e+00
-3.28527e-06,9.99978e-01,1.49135e-18,1.50972e+00,2.20000e+00,0.00000e+00,0.00000e+00
4.03347e-05,1.00000e+00,0.00000e+00,1.50931e+00,2.70000e+00,0.00000e+00,0.00000e+00
4.75599e-04,4.00881e-01,-5.19367e-18,1.48110e+00,2.70000e+00,5.00000e-01,0.00000e+00
1.38600e-01,3.77798e-02,0.00000e+00,1.39694e+00,3.20000e+00,5.00000e-01,0.00000e+00
-4.21434e-01,7.47715e-02,6.95921e-18,1.32769e+00,3.20000e+00,8.50000e-01,0.00000e+00
-4.79230e-01,-7.15320e-02,0.00000e+00,1.17439e+00,3.20000e+00,1.00000e+00,0.00000e+00
3.79998e-02,3.22547e-01,0.00000e+00,9.82638e-01,3.30000e+00,1.00000e+00,0.00000e+00
5.37334e-04,9.99168e-01,0.00000e+00,7.31459e-01,3.30000e+00,0.00000e+00,0.00000e+00
-1.86319e-06,1.00088e+00,7.57377e-19,7.22528e-01,3.80000e+00,0.00000e+00,0.00000e+00
-5.67995e-02,5.17975e-01,-1.47467e-17,6.23669e-01,3.80000e+00,5.00000e-01,0.00000e+00
-3.50469e-02,-1.06033e-01,-5.82772e-18,5.45654e-01,4.30000e+00,5.00000e-01,0.00000e+00
4.87967e-01,-3.89924e-01,3.36632e-18,3.05150e-01,4.30000e+00,8.50000e-01,0.00000e+00
7.11900e-01,-7.03991e-01,-4.57877e-16,4.92625e-01,4.30000e+00,1.00000e+00,0.00000e+00
3.05569e-01,9.99857e-02,-4.57342e-16,9.55014e-01,4.40000e+00,1.00000e+00,0.00000e+00
-6.83166e-04,9.98054e-01,0.00000e+00,7.40474e-01,4.40000e+00,0.00000e+00,0.00000e+00
8.15415e-04,1.00111e+00,-1.19576e-18,7.28193e-01,4.90000e+00,0.00000e+00,0.00000e+00
2.07723e-02,5.09153e-01,0.00000e+00,6.45982e-01,4.90000e+00,5.00000e-01,0.00000e+00
-2.64988e-02,-1.03516e-01,-2.86410e-18,6.03701e-01,5.40000e+00,5.00000e-01,0.00000e+00
6.34134e-01,-3.03850e-01,0.00000e+00,3.33207e-01,5.40000e+00,8.50000e-01,0.00000e+00
5.80078e-01,-5.02197e-01,0.00000e+00,5.41940e-01,5.40000e+00,1.00000e+00,0.00000e+00
3.41106e-02,3.83897e-01,0.00000e+00,1.20472e+00,5.50000e+00,1.00000e+00,0.00000e+00
1.59287e-04,1.00046e+00,0.00000e+00,1.43202e+00,5.50000e+00,0.00000e+00,0.00000e+00
-5.18425e-05,9.99413e-01,0.00000e+00,1.43453e+00,6.00000e+00,0.00000e+00,0.00000e+00
1.27564e-01,4.84828e-01,0.00000e+00,1.45986e+00,6.00000e+00,5.00000e-01,0.00000e+00
3.66238e-01,6.97853e-02,5.18652e-18,1.14218e+00,6.50000e+00,5.00000e-01,0.00000e+00
-8.45784e-01,1.63663e-01,0.00000e+00,1.01579e+00,6.50000e+00,8.50000e-01,0.00000e+00
-9.40774e-01,-8.59930e-02,0.00000e+00,7.68965e-01,6.50000e+00,1.00000e+00,0.00000e+00
6.74788e-02,3.88372e-01,0.00000e+00,4.37177e-01,6.60000e+00,1.00000e+00,0.00000e+00
1.59974e-04,9.99736e-01,0.00000e+00,3.54693e-01,6.60000e+00,0.00000e+00,0.00000e+00
3.58131e-05,1.00019e+00,-3.70844e-19,3.51745e-01,7.10000e+00,0.00000e+00,0.00000e+00
-9.23301e-02,5.15443e-01,1.18028e-18,2.69682e-01,7.10000e+00,5.00000e-01,0.00000e+00
-7.42028e-02,-1.37661e-01,1.99723e-18,2.67897e-01,7.60000e+00,5.00000e-01,0.00000e+00
4.01888e-01,-4.32022e-01,0.00000e+00,1.55953e-01,7.60000e+00,8.50000e-01,0.00000e+00
3.91482e-01,-5.08571e-01,-4.43186e-20,2.41050e-01,7.60000e+00,1.00000e+00,0.00000e+00
5.43205e-02,3.84837e-01,1.33922e-18,5.87560e-01,7.70000e+00,1.00000e+00,0.00000e+00
-2.11661e-04,1.00034e+00,-2.59927e-18,7.86676e-01,7.70000e+00,0.00000e+00,0.00000e+00
2.90069e-04,9.99247e-01,0.00000e+00,7.90200e-01,8.20000e+00,0.00000e+00,0.00000e+00
2.35584e-02,3.64873e-01,-1.51281e-18,7.70779e-01,8.20000e+00,5.00000e-01,0.00000e+00
1.66494e-01,4.23608e-02,-4.09387e-18,6.99382e-01,8.70000e+00,5.00000e-01,0.00000e+00
-4.28342e-01,1.11400e-01,0.00000e+00,6.77068e-01,8.70000e+00,8.50000e-01,0.00000e+00
-4.24818e-01,-5.56766e-02,-1.75301e-18,5.97207e-01,8.70000e+00,1.00000e+00,0.00000e+00
8.42698e-02,4.13599e-01,-1.75301e-18,4.69930e-01,8.80000e+00,1.00000e+00,0.00000e+00
2.25822e-04,9.99647e-01,-6.20722e-19,3.72722e-01,8.80000e+00,0.00000e+00,0.00000e+00
6.03717e-05,1.00029e+00,0.00000e+00,3.68674e-01,9.30000e+00,0.00000e+00,0.00000e+00
-8.27515e-02,5.16200e-01,2.06564e-18,2.84535e-01,9.30000e+00,5.00000e-01,0.00000e+00
-7.33015e-02,-1.33466e-01,-7.18192e-19,2.74887e-01,9.80000e+00,5.00000e-01,0.00000e+00
4.27993e-01,-4.11225e-01,-1.37894e-19,1.61312e-01,9.80000e+00,8.50000e-01,0.00000e+00
