"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
5.00000e-01,5.00000e-01,0.00000e+00,1.42224e+01,0.00000e+00,0.00000e+00,0.00000e+00
-6.74031e-03,1.07235e+00,0.00000e+00,1.27687e+01,5.00000e-01,0.00000e+00,0.00000e+00
-4.00714e-02,1.20629e+00,0.00000e+00,8.66914e+00,5.00000e-01,5.00000e-01,0.00000e+00
-1.34455e-01,-3.77471e-01,-5.33581e-18,6.47376e+00,1.00000e+00,5.00000e-01,0.00000e+00
-3.04599e-01,-5.55174e-01,-7.77642e-18,6.51729e+00,1.00000e+00,8.50000e-01,0.00000e+00
-6.65186e-01,3.81799e-02,0.00000e+00,5.89302e+00,1.00000e+00,1.00000e+00,0.00000e+00
-1.53811e-01,4.79736e-01,0.00000e+00,4.80513e+00,1.10000e+00,1.00000e+00,0.00000e+00
2.78926e-04,9.99501e-01,-3.64392e-21,4.75968e+00,1.10000e+00,0.00000e+00,0.00000e+00
3.55884e-06,1.00048e+00,0.00000e+00,4.75477e+00,1.60000e+00,0.00000e+00,0.00000e+00
6.07463e-02,4.75693e-01,0.00000e+00,4.72517e+00,1.60000e+00,5.00000e-01,0.00000e+00
3.05424e-01,4.85486e-02,-8.49616e-18,4.47051e+00,2.10000e+00,5.00000e-01,0.00000e+00
-8.41929e-01,6.41897e-02,0.00000e+00,4.22782e+00,2.10000e+00,8.50000e-01,0.00000e+00
-1.22841e+00,-1.17629e-01,0.00000e+00,3.25613e+00,2.10000e+00,1.00000e+00,0.00000e+00
-2.21583e-01,3.21988e-01,-3.26923e-18,2.39297e+00,2.20000e+00,1.00000e+00,0.00000e+00
2.41518e-05,9.99677e-01,2.28764e-18,2.27815e+00,2.20000e+00,0.00000e+00,0.00000e+00
2.10732e-04,1.00043e+00,0.00000e+00,2.27485e+00,2.70000e+00,0.00000e+00,0.00000e+00
2.15001e-02,4.06410e-01,-9.63967e-18,2.22650e+00,2.70000e+00,5.00000e-01,0.00000e+00
1.44817e-01,3.62897e-02,0.00000e+00,2.12283e+00,3.20000e+00,5.00000e-01,0.00000e+00
-4.17710e-01,7.68901e-02,1.07784e-17,2.04213e+00,3.20000e+00,8.50000e-01,0.00000e+00
-5.10422e-01,-7.96236e-02,0.00000e+00,1.77136e+00,3.20000e+00,1.00000e+00,0.00000e+00
8.17196e-03,2.71487e-01,0.00000e+00,1.48504e+00,3.30000e+00,1.00000e+00,0.00000e+00
8.47623e-04,9.98833e-01,0.00000e+00,1.19591e+00,3.30000e+00,0.00000e+00,0.00000e+00
-8.01133e-05,1.00130e+00,1.22833e-18,1.18282e+00,3.80000e+00,0.00000e+00,0.00000e+00
-8.05783e-02,4.86193e-01,-1.71557e-17,1.01808e+00,3.80000e+00,5.00000e-01,0.00000e+00
-3.18281e-02,-1.05301e-01,-9.31232e-18,9.01359e-01,4.30000e+00,5.00000e-01,0.00000e+00
7.25235e-01,-2.73127e-01,4.98820e-18,4.99002e-01,4.30000e+00,8.50000e-01,0.00000e+00
4.27329e-01,-2.73692e-01,-4.20443e-18,7.61994e-01,4.30000e+00,1.00000e+00,0.00000e+00
-1.69773e-01,3.59594e-01,-3.64987e-18,1.53303e+00,4.40000e+00,1.00000e+00,0.00000e+00
-9.10074e-04,9.97051e-01,0.00000e+00,1.26716e+00,4.40000e+00,0.00000e+00,0.00000e+00
1.36430e-03,1.00204e+00,-2.02498e-18,1.24567e+00,4.90000e+00,0.00000e+00,0.00000e+00
1.37412e-01,7.63355e-01,0.00000e+00,1.09976e+00,4.90000e+00,5.00000e-01,0.00000e+00
3.25421e-02,-7.04027e-02,-6.40926e-17,1.04413e+00,5.40000e+00,5.00000e-01,0.00000e+00
7.70949e-01,-1.19948e-01,0.00000e+00,5.34905e-01,5.40000e+00,8.50000e-01,0.00000e+00
6.94859e-01,-4.48267e-01,0.00000e+00,8.45224e-01,5.40000e+00,1.00000e+00,0.00000e+00
-1.44301e-02,3.23637e-01,0.00000e+00,1.71766e+00,5.50000e+00,1.00000e+00,0.00000e+00
3.17449e-05,1.00024e+00,0.00000e+00,1.77489e+00,5.50000e+00,0.00000e+00,0.00000e+00
