"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
4.73332e-01,1.19423e-02,0.00000e+00,3.42495e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.38504e-01,1.51073e-01,0.00000e+00,3.52958e+00,5.00000e-01,0.00000e+00,0.00000e+00
5.99027e-03,3.34360e-01,0.00000e+00,3.08418e+00,5.00000e-01,5.00000e-01,0.00000e+00
1.18775e-02,-9.90319e-02,-1.10429e-17,2.86790e+00,1.00000e+00,5.00000e-01,0.00000e+00
-3.43065e-01,-1.36498e-01,-1.14341e-16,2.75690e+00,1.00000e+00,8.50000e-01,0.00000e+00
-3.51874e-01,-2.61288e-01,0.00000e+00,2.25975e+00,1.00000e+00,1.00000e+00,0.00000e+00
1.06916e-01,-6.48275e-01,0.00000e+00,1.70119e+00,1.10000e+00,1.00000e+00,0.00000e+00
-2.51844e-02,-2.50793e-03,-1.32685e-16,1.77127e+00,1.10000e+00,0.00000e+00,0.00000e+00
7.36794e-03,3.52536e-02,0.00000e+00,1.77309e+00,1.60000e+00,0.00000e+00,0.00000e+00
2.22207e-01,2.46523e-01,0.00000e+00,1.63640e+00,1.60000e+00,5.00000e-01,0.00000e+00
1.05104e-01,1.04920e-01,-5.71282e-18,1.59911e+00,2.10000e+00,5.00000e-01,0.00000e+00
-7.91360e-01,1.64606e-01,0.00000e+00,1.45533e+00,2.10000e+00,8.50000e-01,0.00000e+00
-1.35263e+00,1.02448e-01,0.00000e+00,9.89204e-01,2.10000e+00,1.00000e+00,0.00000e+00
-2.97754e-01,1.76079e-01,-1.00142e-17,6.44114e-01,2.20000e+00,1.00000e+00,0.00000e+00
2.15860e-02,-8.44179e-03,3.82959e-17,7.32830e-01,2.20000e+00,0.00000e+00,0.00000e+00
2.47173e-02,3.12452e-02,-1.31637e-17,7.34144e-01,2.70000e+00,0.00000e+00,0.00000e+00
1.91851e-01,7.92392e-02,8.18447e-18,6.80491e-01,2.70000e+00,5.00000e-01,0.00000e+00
1.22481e-01,8.18632e-02,0.00000e+00,6.87592e-01,3.20000e+00,5.00000e-01,0.00000e+00
-4.33548e-01,1.18382e-01,2.52786e-18,6.94292e-01,3.20000e+00,8.50000e-01,0.00000e+00
-3.36064e-01,-5.20101e-02,0.00000e+00,6.41108e-01,3.20000e+00,1.00000e+00,0.00000e+00
1.88739e-01,-3.93427e-01,0.00000e+00,3.19146e-01,3.30000e+00,1.00000e+00,0.00000e+00
2.07135e-02,-1.68051e-02,0.00000e+00,3.59529e-01,3.30000e+00,0.00000e+00,0.00000e+00
-6.53508e-03,4.23336e-02,1.13209e-17,3.60513e-01,3.80000e+00,0.00000e+00,0.00000e+00
2.12244e-01,2.02935e-01,-1.64066e-18,2.32226e-01,3.80000e+00,5.00000e-01,0.00000e+00
2.73217e-02,9.03257e-02,-2.23142e-18,2.20177e-01,4.30000e+00,5.00000e-01,0.00000e+00
2.26704e-01,3.65410e-01,5.87067e-19,9.59107e-02,4.30000e+00,8.50000e-01,0.00000e+00
5.24407e-01,2.60818e-01,-1.87570e-19,-5.36983e-03,4.30000e+00,1.00000e+00,0.00000e+00
2.43944e-01,1.09442e-01,-1.69084e-20,-1.55595e-03,4.40000e+00,1.00000e+00,0.00000e+00
-9.02277e-03,7.49763e-03,0.00000e+00,5.28895e-02,4.40000e+00,0.00000e+00,0.00000e+00
-2.44832e-02,1.68963e-03,-2.42097e-17,5.31211e-02,4.90000e+00,0.00000e+00,0.00000e+00
4.34445e-02,-4.95865e-02,0.00000e+00,4.92450e-02,4.90000e+00,5.00000e-01,0.00000e+00
6.09149e-02,5.10871e-02,-3.89050e-19,5.86824e-02,5.40000e+00,5.00000e-01,0.00000e+00
1.05537e-01,1.86743e-01,0.00000e+00,1.91822e-02,5.40000e+00,8.50000e-01,0.00000e+00
-7.36803e-01,3.02748e-01,0.00000e+00,-4.36796e-01,5.40000e+00,1.00000e+00,0.00000e+00
-7.79312e-01,3.91597e-01,0.00000e+00,-1.41923e-01,5.50000e+00,1.00000e+00,0.00000e+00
4.52205e-02,-7.88442e-02,0.00000e+00,4.30966e-01,5.50000e+00,0.00000e+00,0.00000e+00
9.25006e-02,8.42381e-02,2.76413e-18,4.21253e-01,6.00000e+00,0.00000e+00,0.00000e+00
2.09220e-01,2.28970e-01,0.00000e+00,3.14741e-01,6.00000e+00,5.00000e-01,0.00000e+00
2.04804e-01,1.19042e-01,1.62916e-18,2.62798e-01,6.50000e+00,5.00000e-01,0.00000e+00
