"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
4.94326e-01,-5.86732e-01,0.00000e+00,2.28306e-01,0.00000e+00,0.00000e+00,0.00000e+00
1.06498e-01,-1.92746e+00,0.00000e+00,2.25037e-01,5.00000e-01,0.00000e+00,0.00000e+00
-2.25924e-01,-8.84923e-01,0.00000e+00,1.58882e+00,5.00000e-01,5.00000e-01,0.00000e+00
1.11568e-01,-9.81463e-02,-1.43427e-17,2.56136e+00,1.00000e+00,5.00000e-01,0.00000e+00
-4.43496e-01,-1.14163e-01,-3.42310e-16,2.53000e+00,1.00000e+00,8.50000e-01,0.00000e+00
2.59622e-01,2.52838e-02,0.00000e+00,1.49632e+00,1.00000e+00,1.00000e+00,0.00000e+00
8.91937e-01,-7.63328e-01,0.00000e+00,-6.26956e-01,1.10000e+00,1.00000e+00,0.00000e+00
-3.99184e-02,-1.72942e+00,-8.37805e-20,1.34782e-02,1.10000e+00,0.00000e+00,0.00000e+00
-4.30474e-02,-1.99521e+00,0.00000e+00,-1.93801e-02,1.60000e+00,0.00000e+00,0.00000e+00
-3.71530e-01,-1.15173e+00,0.00000e+00,8.24589e-02,1.60000e+00,5.00000e-01,0.00000e+00
3.70643e-01,9.56401e-02,-8.68746e-19,1.03158e+00,2.10000e+00,5.00000e-01,0.00000e+00
-8.88667e-01,2.49052e-01,0.00000e+00,9.08407e-01,2.10000e+00,8.50000e-01,0.00000e+00
-4.68766e-01,-1.36227e-01,0.00000e+00,8.76709e-01,2.10000e+00,1.00000e+00,0.00000e+00
6.18151e-01,-6.78972e-01,3.34361e-18,-2.05361e-01,2.20000e+00,1.00000e+00,0.00000e+00
-5.06717e-02,-1.29055e+00,1.10712e-19,3.90507e-02,2.20000e+00,0.00000e+00,0.00000e+00
-6.82440e-02,-1.80510e+00,-5.79387e-21,-1.02834e-01,2.70000e+00,0.00000e+00,0.00000e+00
-3.53853e-01,-1.03895e+00,-3.55282e-18,1.84281e-01,2.70000e+00,5.00000e-01,0.00000e+00
1.20782e-01,2.60233e-02,0.00000e+00,1.29837e+00,3.20000e+00,5.00000e-01,0.00000e+00
-4.45620e-01,7.86600e-02,5.55620e-18,1.21218e+00,3.20000e+00,8.50000e-01,0.00000e+00
-9.48031e-02,6.90068e-02,0.00000e+00,3.52218e-01,3.20000e+00,1.00000e+00,0.00000e+00
4.07234e-01,-1.98694e-01,0.00000e+00,-5.48192e-01,3.30000e+00,1.00000e+00,0.00000e+00
-3.84111e-02,-1.07288e+00,0.00000e+00,3.81753e-02,3.30000e+00,0.00000e+00,0.00000e+00
-4.65079e-02,-1.51572e+00,2.56611e-21,-1.33406e-02,3.80000e+00,0.00000e+00,0.00000e+00
-2.41445e-01,-8.09622e-01,-4.53300e-17,1.65598e-01,3.80000e+00,5.00000e-01,0.00000e+00
